start	type	end
7472	1	7976
7472	1	8321
7472	1	8322
7472	1	8323
7472	1	8324
7472	1	8325
7472	1	8326
7473	1	11211
7473	1	2535
7473	1	7855
7473	1	7976
7473	1	8321
7473	1	8322
7473	1	8323
7473	1	8324
7473	1	8325
7473	1	8326
7474	1	11211
7474	1	2535
7474	1	7855
7474	1	7976
7474	1	8321
7474	1	8322
7474	1	8323
7474	1	8324
7474	1	8325
7474	1	8326
7475	1	11211
7475	1	2535
7475	1	7855
7475	1	7976
7475	1	8321
7475	1	8322
7475	1	8323
7475	1	8324
7475	1	8325
7475	1	8326
7476	1	11211
7476	1	2535
7476	1	7855
7476	1	7976
7476	1	8321
7476	1	8322
7476	1	8323
7476	1	8324
7476	1	8325
7476	1	8326
7477	1	11211
7477	1	2535
7477	1	7855
7477	1	7976
7477	1	8321
7477	1	8322
7477	1	8323
7477	1	8324
7477	1	8325
7477	1	8326
7478	1	11211
7478	1	2535
7478	1	7855
7478	1	7976
7478	1	8321
7478	1	8322
7478	1	8323
7478	1	8324
7478	1	8325
7478	1	8326
7479	1	11211
7479	1	2535
7479	1	7855
7479	1	7976
7479	1	8321
7479	1	8322
7479	1	8323
7479	1	8324
7479	1	8325
7479	1	8326
7480	1	11211
7480	1	2535
7480	1	7855
7480	1	7976
7480	1	8321
7480	1	8322
7480	1	8323
7480	1	8324
7480	1	8325
7480	1	8326
7481	1	11211
7481	1	2535
7481	1	7855
7481	1	7976
7481	1	8321
7481	1	8322
7481	1	8323
7481	1	8324
7481	1	8325
7481	1	8326
7482	1	11211
7482	1	2535
7482	1	7855
7482	1	7976
7482	1	8321
7482	1	8322
7482	1	8323
7482	1	8324
7482	1	8325
7482	1	8326
7483	1	11211
7483	1	2535
7483	1	7855
7483	1	7976
7483	1	8321
7483	1	8322
7483	1	8323
7483	1	8324
7483	1	8325
7483	1	8326
7484	1	11211
7484	1	2535
7484	1	7855
7484	1	7976
7484	1	8321
7484	1	8322
7484	1	8323
7484	1	8324
7484	1	8325
7484	1	8326
80326	1	11211
80326	1	2535
80326	1	7855
80326	1	7976
80326	1	8321
80326	1	8322
80326	1	8323
80326	1	8324
80326	1	8325
80326	1	8326
81029	1	11211
81029	1	2535
81029	1	7855
81029	1	7976
81029	1	8321
81029	1	8322
81029	1	8323
81029	1	8324
81029	1	8325
81029	1	8326
89780	1	11211
89780	1	2535
89780	1	7855
89780	1	7976
89780	1	8321
89780	1	8322
89780	1	8323
89780	1	8324
89780	1	8325
89780	1	8326
5663	1	1499
4089	1	51176
4089	1	6932
4089	1	6934
4089	1	83439
85407	1	1855
85407	1	1856
85407	1	1857
85409	1	1855
85409	1	1856
85409	1	1857
387	1	6093
387	1	9475
5879	1	5599
5879	1	5601
5879	1	5602
5880	1	5599
5880	1	5601
5880	1	5602
5881	1	5599
5881	1	5601
5881	1	5602
1499	1	51176
1499	1	6932
1499	1	6934
1499	1	83439
10683	1	4851
10683	1	4853
10683	1	4854
10683	1	4855
28514	1	4851
28514	1	4853
28514	1	4854
28514	1	4855
54567	1	4851
54567	1	4853
54567	1	4854
54567	1	4855
4851	1	113878
4851	1	151636
4851	1	1840
4851	1	196403
4851	1	23220
4853	1	113878
4853	1	151636
4853	1	1840
4853	1	196403
4853	1	23220
4854	1	113878
4854	1	151636
4854	1	1840
4854	1	196403
4854	1	23220
4855	1	113878
4855	1	151636
4855	1	1840
4855	1	196403
4855	1	23220
6868	1	4851
6868	1	4853
6868	1	4854
6868	1	4855
23385	1	4851
23385	1	4853
23385	1	4854
23385	1	4855
51107	1	4851
51107	1	4853
51107	1	4854
51107	1	4855
5663	1	4851
5663	1	4853
5663	1	4854
5663	1	4855
5664	1	4851
5664	1	4853
5664	1	4854
5664	1	4855
55851	1	4851
55851	1	4853
55851	1	4854
55851	1	4855
3955	1	4851
3955	1	4853
3955	1	4854
3955	1	4855
4242	1	4851
